"Data for weekly deaths (occurrences), by Health Board and location, 2015-2019",,,,,,,,,
,,,,,,,,,
week of occurrence,health board,location,year,number of deaths,,,,,
27,Ayrshire and Arran,Hospital,2016,37,,,,,
27,Borders,Care Home,2016,3,,,,,
27,Borders,Home / Non-institution,2016,8,,,,,
27,Borders,Hospital,2016,10,,,,,
27,Borders,Other institution,2016,2,,,,,
27,Dumfries and Galloway,Care Home,2016,2,,,,,
27,Dumfries and Galloway,Home / Non-institution,2016,14,,,,,
27,Dumfries and Galloway,Hospital,2016,18,,,,,
27,Fife,Care Home,2016,17,,,,,
27,Fife,Home / Non-institution,2016,11,,,,,
27,Fife,Hospital,2016,48,,,,,
27,Forth Valley,Care Home,2016,12,,,,,
27,Forth Valley,Home / Non-institution,2016,12,,,,,
27,Forth Valley,Hospital,2016,31,,,,,
27,Grampian,Care Home,2016,19,,,,,
27,Grampian,Home / Non-institution,2016,23,,,,,
27,Grampian,Hospital,2016,46,,,,,
27,Grampian,Other institution,2016,1,,,,,
27,Greater Glasgow and Clyde,Care Home,2016,51,,,,,
27,Greater Glasgow and Clyde,Home / Non-institution,2016,52,,,,,
27,Greater Glasgow and Clyde,Hospital,2016,115,,,,,
27,Greater Glasgow and Clyde,Other institution,2016,2,,,,,
27,Highland,Care Home,2016,9,,,,,
27,Highland,Home / Non-institution,2016,25,,,,,
27,Highland,Hospital,2016,28,,,,,
27,Lanarkshire,Care Home,2016,23,,,,,
27,Lanarkshire,Home / Non-institution,2016,41,,,,,
27,Lanarkshire,Hospital,2016,75,,,,,
27,Lothian,Care Home,2016,47,,,,,
27,Lothian,Home / Non-institution,2016,25,,,,,
27,Lothian,Hospital,2016,65,,,,,
27,Orkney,Home / Non-institution,2016,1,,,,,
27,Orkney,Hospital,2016,2,,,,,
27,Shetland,Home / Non-institution,2016,2,,,,,
27,Shetland,Hospital,2016,1,,,,,
27,Tayside,Care Home,2016,17,,,,,
27,Tayside,Home / Non-institution,2016,33,,,,,
27,Tayside,Hospital,2016,34,,,,,
27,Western Isles,Care Home,2016,2,,,,,
27,Western Isles,Home / Non-institution,2016,1,,,,,
27,Western Isles,Hospital,2016,3,,,,,
28,Ayrshire and Arran,Care Home,2016,22,,,,,
28,Ayrshire and Arran,Home / Non-institution,2016,25,,,,,
28,Ayrshire and Arran,Hospital,2016,46,,,,,
28,Borders,Care Home,2016,2,,,,,
28,Borders,Home / Non-institution,2016,2,,,,,
28,Borders,Hospital,2016,11,,,,,
28,Borders,Other institution,2016,1,,,,,
28,Dumfries and Galloway,Care Home,2016,5,,,,,
28,Dumfries and Galloway,Home / Non-institution,2016,8,,,,,
28,Dumfries and Galloway,Hospital,2016,26,,,,,
28,Fife,Care Home,2016,11,,,,,
28,Fife,Home / Non-institution,2016,14,,,,,
28,Fife,Hospital,2016,46,,,,,
28,Forth Valley,Care Home,2016,11,,,,,
28,Forth Valley,Home / Non-institution,2016,16,,,,,
28,Forth Valley,Hospital,2016,27,,,,,
28,Grampian,Care Home,2016,26,,,,,
28,Grampian,Home / Non-institution,2016,39,,,,,
28,Grampian,Hospital,2016,52,,,,,
28,Greater Glasgow and Clyde,Care Home,2016,48,,,,,
28,Greater Glasgow and Clyde,Home / Non-institution,2016,61,,,,,
28,Greater Glasgow and Clyde,Hospital,2016,118,,,,,
28,Highland,Care Home,2016,13,,,,,
28,Highland,Home / Non-institution,2016,16,,,,,
28,Highland,Hospital,2016,22,,,,,
28,Lanarkshire,Care Home,2016,29,,,,,
28,Lanarkshire,Home / Non-institution,2016,32,,,,,
28,Lanarkshire,Hospital,2016,57,,,,,
28,Lothian,Care Home,2016,43,,,,,
28,Lothian,Home / Non-institution,2016,32,,,,,
28,Lothian,Hospital,2016,56,,,,,
28,Orkney,Care Home,2016,1,,,,,
28,Orkney,Home / Non-institution,2016,2,,,,,
28,Shetland,Care Home,2016,1,,,,,
28,Shetland,Hospital,2016,3,,,,,
28,Tayside,Care Home,2016,30,,,,,
28,Tayside,Home / Non-institution,2016,20,,,,,
28,Tayside,Hospital,2016,43,,,,,
28,Western Isles,Hospital,2016,3,,,,,
29,Ayrshire and Arran,Care Home,2016,16,,,,,
29,Ayrshire and Arran,Home / Non-institution,2016,25,,,,,
29,Ayrshire and Arran,Hospital,2016,36,,,,,
29,Borders,Care Home,2016,1,,,,,
29,Borders,Home / Non-institution,2016,9,,,,,
29,Borders,Hospital,2016,12,,,,,
29,Borders,Other institution,2016,3,,,,,
29,Dumfries and Galloway,Care Home,2016,6,,,,,
29,Dumfries and Galloway,Home / Non-institution,2016,10,,,,,
29,Dumfries and Galloway,Hospital,2016,17,,,,,
29,Fife,Care Home,2016,17,,,,,
29,Fife,Home / Non-institution,2016,18,,,,,
29,Fife,Hospital,2016,37,,,,,
29,Forth Valley,Care Home,2016,18,,,,,
29,Forth Valley,Home / Non-institution,2016,19,,,,,
29,Forth Valley,Hospital,2016,33,,,,,
29,Grampian,Care Home,2016,24,,,,,
29,Grampian,Home / Non-institution,2016,31,,,,,
29,Grampian,Hospital,2016,48,,,,,
29,Greater Glasgow and Clyde,Care Home,2016,59,,,,,
29,Greater Glasgow and Clyde,Home / Non-institution,2016,52,,,,,
29,Greater Glasgow and Clyde,Hospital,2016,116,,,,,
29,Highland,Care Home,2016,13,,,,,
29,Highland,Home / Non-institution,2016,18,,,,,
29,Highland,Hospital,2016,19,,,,,
29,Lanarkshire,Care Home,2016,31,,,,,
29,Lanarkshire,Home / Non-institution,2016,30,,,,,
29,Lanarkshire,Hospital,2016,55,,,,,
29,Lothian,Care Home,2016,45,,,,,
29,Lothian,Home / Non-institution,2016,31,,,,,
29,Lothian,Hospital,2016,73,,,,,
29,Orkney,Care Home,2016,2,,,,,
29,Orkney,Home / Non-institution,2016,1,,,,,
29,Orkney,Hospital,2016,3,,,,,
29,Shetland,Care Home,2016,1,,,,,
29,Shetland,Home / Non-institution,2016,1,,,,,
29,Shetland,Hospital,2016,3,,,,,
29,Tayside,Care Home,2016,18,,,,,
29,Tayside,Home / Non-institution,2016,19,,,,,
29,Tayside,Hospital,2016,36,,,,,
29,Western Isles,Care Home,2016,3,,,,,
29,Western Isles,Home / Non-institution,2016,2,,,,,
29,Western Isles,Hospital,2016,4,,,,,
30,Ayrshire and Arran,Care Home,2016,12,,,,,
30,Ayrshire and Arran,Home / Non-institution,2016,24,,,,,
30,Ayrshire and Arran,Hospital,2016,58,,,,,
30,Borders,Care Home,2016,4,,,,,
30,Borders,Home / Non-institution,2016,3,,,,,
30,Borders,Hospital,2016,11,,,,,
30,Borders,Other institution,2016,3,,,,,
30,Dumfries and Galloway,Care Home,2016,6,,,,,
30,Dumfries and Galloway,Home / Non-institution,2016,9,,,,,
30,Dumfries and Galloway,Hospital,2016,17,,,,,
30,Fife,Care Home,2016,13,,,,,
30,Fife,Home / Non-institution,2016,18,,,,,
30,Fife,Hospital,2016,26,,,,,
30,Forth Valley,Care Home,2016,12,,,,,
30,Forth Valley,Home / Non-institution,2016,28,,,,,
30,Forth Valley,Hospital,2016,27,,,,,
30,Grampian,Care Home,2016,26,,,,,
30,Grampian,Home / Non-institution,2016,28,,,,,
30,Grampian,Hospital,2016,40,,,,,
30,Greater Glasgow and Clyde,Care Home,2016,54,,,,,
30,Greater Glasgow and Clyde,Home / Non-institution,2016,57,,,,,
30,Greater Glasgow and Clyde,Hospital,2016,117,,,,,
30,Greater Glasgow and Clyde,Other institution,2016,1,,,,,
30,Highland,Care Home,2016,6,,,,,
30,Highland,Home / Non-institution,2016,13,,,,,
30,Highland,Hospital,2016,25,,,,,
30,Lanarkshire,Care Home,2016,18,,,,,
30,Lanarkshire,Home / Non-institution,2016,37,,,,,
30,Lanarkshire,Hospital,2016,43,,,,,
30,Lanarkshire,Other institution,2016,1,,,,,
30,Lothian,Care Home,2016,41,,,,,
30,Lothian,Home / Non-institution,2016,31,,,,,
30,Lothian,Hospital,2016,76,,,,,
30,Orkney,Care Home,2016,1,,,,,
30,Orkney,Home / Non-institution,2016,1,,,,,
30,Shetland,Care Home,2016,2,,,,,
30,Shetland,Home / Non-institution,2016,2,,,,,
30,Tayside,Care Home,2016,23,,,,,
30,Tayside,Home / Non-institution,2016,20,,,,,
30,Tayside,Hospital,2016,41,,,,,
30,Western Isles,Home / Non-institution,2016,1,,,,,
30,Western Isles,Hospital,2016,3,,,,,
31,Ayrshire and Arran,Care Home,2016,10,,,,,
31,Ayrshire and Arran,Home / Non-institution,2016,23,,,,,
31,Ayrshire and Arran,Hospital,2016,37,,,,,
31,Borders,Care Home,2016,2,,,,,
31,Borders,Home / Non-institution,2016,4,,,,,
31,Borders,Hospital,2016,8,,,,,
31,Borders,Other institution,2016,5,,,,,
31,Dumfries and Galloway,Care Home,2016,4,,,,,
31,Dumfries and Galloway,Home / Non-institution,2016,7,,,,,
31,Dumfries and Galloway,Hospital,2016,15,,,,,
31,Fife,Care Home,2016,10,,,,,
31,Fife,Home / Non-institution,2016,23,,,,,
31,Fife,Hospital,2016,34,,,,,
31,Forth Valley,Care Home,2016,9,,,,,
31,Forth Valley,Home / Non-institution,2016,14,,,,,
31,Forth Valley,Hospital,2016,28,,,,,
31,Grampian,Care Home,2016,20,,,,,
31,Grampian,Home / Non-institution,2016,29,,,,,
31,Grampian,Hospital,2016,42,,,,,
31,Greater Glasgow and Clyde,Care Home,2016,62,,,,,
31,Greater Glasgow and Clyde,Home / Non-institution,2016,78,,,,,
31,Greater Glasgow and Clyde,Hospital,2016,105,,,,,
31,Highland,Care Home,2016,17,,,,,
31,Highland,Home / Non-institution,2016,15,,,,,
31,Highland,Hospital,2016,30,,,,,
31,Lanarkshire,Care Home,2016,35,,,,,
31,Lanarkshire,Home / Non-institution,2016,32,,,,,
31,Lanarkshire,Hospital,2016,58,,,,,
31,Lothian,Care Home,2016,31,,,,,
31,Lothian,Home / Non-institution,2016,36,,,,,
31,Lothian,Hospital,2016,53,,,,,
31,Lothian,Other institution,2016,1,,,,,
31,Orkney,Care Home,2016,3,,,,,
31,Orkney,Home / Non-institution,2016,1,,,,,
31,Orkney,Hospital,2016,1,,,,,
31,Shetland,Home / Non-institution,2016,2,,,,,
31,Shetland,Hospital,2016,4,,,,,
31,Tayside,Care Home,2016,16,,,,,
31,Tayside,Home / Non-institution,2016,15,,,,,
31,Tayside,Hospital,2016,41,,,,,
31,Tayside,Other institution,2016,1,,,,,
31,Western Isles,Home / Non-institution,2016,2,,,,,
31,Western Isles,Hospital,2016,2,,,,,
32,Ayrshire and Arran,Care Home,2016,21,,,,,
32,Ayrshire and Arran,Home / Non-institution,2016,26,,,,,
32,Ayrshire and Arran,Hospital,2016,39,,,,,
32,Borders,Care Home,2016,2,,,,,
32,Borders,Home / Non-institution,2016,5,,,,,
32,Borders,Hospital,2016,10,,,,,
32,Borders,Other institution,2016,1,,,,,
32,Dumfries and Galloway,Care Home,2016,6,,,,,
32,Dumfries and Galloway,Home / Non-institution,2016,14,,,,,
32,Dumfries and Galloway,Hospital,2016,16,,,,,
32,Fife,Care Home,2016,6,,,,,
32,Fife,Home / Non-institution,2016,15,,,,,
32,Fife,Hospital,2016,21,,,,,
32,Forth Valley,Care Home,2016,12,,,,,
32,Forth Valley,Home / Non-institution,2016,20,,,,,
32,Forth Valley,Hospital,2016,31,,,,,
32,Grampian,Care Home,2016,19,,,,,
32,Grampian,Home / Non-institution,2016,26,,,,,
32,Grampian,Hospital,2016,43,,,,,
32,Greater Glasgow and Clyde,Care Home,2016,61,,,,,
32,Greater Glasgow and Clyde,Home / Non-institution,2016,64,,,,,
32,Greater Glasgow and Clyde,Hospital,2016,96,,,,,
32,Highland,Care Home,2016,10,,,,,
32,Highland,Home / Non-institution,2016,21,,,,,
32,Highland,Hospital,2016,27,,,,,
32,Lanarkshire,Care Home,2016,29,,,,,
32,Lanarkshire,Home / Non-institution,2016,35,,,,,
32,Lanarkshire,Hospital,2016,62,,,,,
32,Lanarkshire,Other institution,2016,1,,,,,
32,Lothian,Care Home,2016,30,,,,,
32,Lothian,Home / Non-institution,2016,35,,,,,
32,Lothian,Hospital,2016,81,,,,,
32,Orkney,Care Home,2016,1,,,,,
32,Orkney,Home / Non-institution,2016,2,,,,,
32,Shetland,Care Home,2016,1,,,,,
32,Shetland,Home / Non-institution,2016,1,,,,,
32,Tayside,Care Home,2016,24,,,,,
32,Tayside,Home / Non-institution,2016,21,,,,,
32,Tayside,Hospital,2016,45,,,,,
32,Western Isles,Care Home,2016,1,,,,,
32,Western Isles,Home / Non-institution,2016,4,,,,,
32,Western Isles,Hospital,2016,4,,,,,
33,Ayrshire and Arran,Care Home,2016,13,,,,,
33,Ayrshire and Arran,Home / Non-institution,2016,22,,,,,
33,Ayrshire and Arran,Hospital,2016,39,,,,,
33,Borders,Care Home,2016,4,,,,,
33,Borders,Home / Non-institution,2016,4,,,,,
33,Borders,Hospital,2016,16,,,,,
33,Borders,Other institution,2016,2,,,,,
33,Dumfries and Galloway,Care Home,2016,10,,,,,
33,Dumfries and Galloway,Home / Non-institution,2016,6,,,,,
33,Dumfries and Galloway,Hospital,2016,19,,,,,
33,Fife,Care Home,2016,21,,,,,
33,Fife,Home / Non-institution,2016,18,,,,,
33,Fife,Hospital,2016,48,,,,,
33,Forth Valley,Care Home,2016,12,,,,,
33,Forth Valley,Home / Non-institution,2016,6,,,,,
33,Forth Valley,Hospital,2016,18,,,,,
33,Grampian,Care Home,2016,14,,,,,
33,Grampian,Home / Non-institution,2016,31,,,,,
33,Grampian,Hospital,2016,51,,,,,
33,Greater Glasgow and Clyde,Care Home,2016,41,,,,,
33,Greater Glasgow and Clyde,Home / Non-institution,2016,64,,,,,
33,Greater Glasgow and Clyde,Hospital,2016,114,,,,,
33,Greater Glasgow and Clyde,Other institution,2016,1,,,,,
33,Highland,Care Home,2016,13,,,,,
33,Highland,Home / Non-institution,2016,27,,,,,
33,Highland,Hospital,2016,28,,,,,
33,Lanarkshire,Care Home,2016,29,,,,,
33,Lanarkshire,Home / Non-institution,2016,23,,,,,
33,Lanarkshire,Hospital,2016,65,,,,,
33,Lothian,Care Home,2016,37,,,,,
33,Lothian,Home / Non-institution,2016,35,,,,,
33,Lothian,Hospital,2016,66,,,,,
33,Orkney,Home / Non-institution,2016,5,,,,,
33,Orkney,Hospital,2016,1,,,,,
33,Shetland,Care Home,2016,3,,,,,
33,Shetland,Home / Non-institution,2016,1,,,,,
33,Tayside,Care Home,2016,24,,,,,
33,Tayside,Home / Non-institution,2016,17,,,,,
33,Tayside,Hospital,2016,28,,,,,
33,Tayside,Other institution,2016,1,,,,,
33,Western Isles,Care Home,2016,3,,,,,
33,Western Isles,Home / Non-institution,2016,3,,,,,
33,Western Isles,Hospital,2016,4,,,,,
34,Ayrshire and Arran,Care Home,2016,13,,,,,
34,Ayrshire and Arran,Home / Non-institution,2016,24,,,,,
34,Ayrshire and Arran,Hospital,2016,53,,,,,
34,Borders,Care Home,2016,5,,,,,
34,Borders,Home / Non-institution,2016,7,,,,,
34,Borders,Hospital,2016,5,,,,,
34,Borders,Other institution,2016,3,,,,,
34,Dumfries and Galloway,Care Home,2016,7,,,,,
34,Dumfries and Galloway,Home / Non-institution,2016,4,,,,,
34,Dumfries and Galloway,Hospital,2016,15,,,,,
34,Fife,Care Home,2016,14,,,,,
34,Fife,Home / Non-institution,2016,24,,,,,
34,Fife,Hospital,2016,36,,,,,
34,Fife,Other institution,2016,1,,,,,
34,Forth Valley,Care Home,2016,12,,,,,
34,Forth Valley,Home / Non-institution,2016,14,,,,,
34,Forth Valley,Hospital,2016,28,,,,,
34,Grampian,Care Home,2016,34,,,,,
34,Grampian,Home / Non-institution,2016,20,,,,,
34,Grampian,Hospital,2016,53,,,,,
34,Greater Glasgow and Clyde,Care Home,2016,43,,,,,
34,Greater Glasgow and Clyde,Home / Non-institution,2016,60,,,,,
34,Greater Glasgow and Clyde,Hospital,2016,107,,,,,
34,Greater Glasgow and Clyde,Other institution,2016,1,,,,,
34,Highland,Care Home,2016,8,,,,,
34,Highland,Home / Non-institution,2016,31,,,,,
34,Highland,Hospital,2016,33,,,,,
34,Lanarkshire,Care Home,2016,18,,,,,
34,Lanarkshire,Home / Non-institution,2016,37,,,,,
34,Lanarkshire,Hospital,2016,65,,,,,
34,Lothian,Care Home,2016,35,,,,,
34,Lothian,Home / Non-institution,2016,27,,,,,
34,Lothian,Hospital,2016,79,,,,,
34,Orkney,Home / Non-institution,2016,2,,,,,
34,Shetland,Hospital,2016,2,,,,,
34,Tayside,Care Home,2016,29,,,,,
34,Tayside,Home / Non-institution,2016,26,,,,,
34,Tayside,Hospital,2016,37,,,,,
34,Western Isles,Care Home,2016,4,,,,,
34,Western Isles,Home / Non-institution,2016,1,,,,,
35,Ayrshire and Arran,Care Home,2016,21,,,,,
35,Ayrshire and Arran,Home / Non-institution,2016,21,,,,,
35,Ayrshire and Arran,Hospital,2016,33,,,,,
35,Borders,Care Home,2016,4,,,,,
35,Borders,Home / Non-institution,2016,7,,,,,
35,Borders,Hospital,2016,9,,,,,
35,Borders,Other institution,2016,3,,,,,
35,Dumfries and Galloway,Care Home,2016,5,,,,,
35,Dumfries and Galloway,Home / Non-institution,2016,11,,,,,
35,Dumfries and Galloway,Hospital,2016,13,,,,,
35,Fife,Care Home,2016,13,,,,,
35,Fife,Home / Non-institution,2016,19,,,,,
35,Fife,Hospital,2016,51,,,,,
35,Forth Valley,Care Home,2016,15,,,,,
35,Forth Valley,Home / Non-institution,2016,12,,,,,
35,Forth Valley,Hospital,2016,33,,,,,
35,Grampian,Care Home,2016,14,,,,,
35,Grampian,Home / Non-institution,2016,27,,,,,
35,Grampian,Hospital,2016,54,,,,,
35,Greater Glasgow and Clyde,Care Home,2016,67,,,,,
35,Greater Glasgow and Clyde,Home / Non-institution,2016,61,,,,,
35,Greater Glasgow and Clyde,Hospital,2016,106,,,,,
35,Greater Glasgow and Clyde,Other institution,2016,1,,,,,
35,Highland,Care Home,2016,18,,,,,
35,Highland,Home / Non-institution,2016,23,,,,,
35,Highland,Hospital,2016,31,,,,,
35,Lanarkshire,Care Home,2016,45,,,,,
35,Lanarkshire,Home / Non-institution,2016,32,,,,,
35,Lanarkshire,Hospital,2016,56,,,,,
35,Lanarkshire,Other institution,2016,1,,,,,
35,Lothian,Care Home,2016,36,,,,,
35,Lothian,Home / Non-institution,2016,38,,,,,
35,Lothian,Hospital,2016,75,,,,,
35,Orkney,Care Home,2016,1,,,,,
35,Orkney,Home / Non-institution,2016,2,,,,,
35,Orkney,Hospital,2016,1,,,,,
35,Shetland,Care Home,2016,1,,,,,
35,Shetland,Home / Non-institution,2016,5,,,,,
35,Shetland,Hospital,2016,1,,,,,
35,Tayside,Care Home,2016,16,,,,,
35,Tayside,Home / Non-institution,2016,25,,,,,
35,Tayside,Hospital,2016,45,,,,,
35,Tayside,Other institution,2016,1,,,,,
35,Western Isles,Care Home,2016,2,,,,,
35,Western Isles,Home / Non-institution,2016,1,,,,,
35,Western Isles,Hospital,2016,6,,,,,
36,Ayrshire and Arran,Care Home,2016,13,,,,,
36,Ayrshire and Arran,Home / Non-institution,2016,14,,,,,
36,Ayrshire and Arran,Hospital,2016,38,,,,,
36,Borders,Care Home,2016,3,,,,,
36,Borders,Home / Non-institution,2016,5,,,,,
36,Borders,Hospital,2016,16,,,,,
36,Borders,Other institution,2016,3,,,,,
36,Dumfries and Galloway,Care Home,2016,4,,,,,
36,Dumfries and Galloway,Home / Non-institution,2016,7,,,,,
36,Dumfries and Galloway,Hospital,2016,16,,,,,
36,Fife,Care Home,2016,10,,,,,
36,Fife,Home / Non-institution,2016,6,,,,,
36,Fife,Hospital,2016,32,,,,,
36,Forth Valley,Care Home,2016,7,,,,,
36,Forth Valley,Home / Non-institution,2016,16,,,,,
36,Forth Valley,Hospital,2016,24,,,,,
36,Grampian,Care Home,2016,24,,,,,
36,Grampian,Home / Non-institution,2016,38,,,,,
36,Grampian,Hospital,2016,50,,,,,
36,Grampian,Other institution,2016,1,,,,,
36,Greater Glasgow and Clyde,Care Home,2016,67,,,,,
36,Greater Glasgow and Clyde,Home / Non-institution,2016,50,,,,,
36,Greater Glasgow and Clyde,Hospital,2016,90,,,,,
36,Highland,Care Home,2016,12,,,,,
36,Highland,Home / Non-institution,2016,33,,,,,
36,Highland,Hospital,2016,26,,,,,
36,Lanarkshire,Care Home,2016,29,,,,,
36,Lanarkshire,Home / Non-institution,2016,34,,,,,
36,Lanarkshire,Hospital,2016,59,,,,,
36,Lanarkshire,Other institution,2016,1,,,,,
36,Lothian,Care Home,2016,43,,,,,
36,Lothian,Home / Non-institution,2016,38,,,,,
36,Lothian,Hospital,2016,63,,,,,
36,Orkney,Care Home,2016,1,,,,,
36,Orkney,Hospital,2016,5,,,,,
36,Shetland,Care Home,2016,2,,,,,
36,Shetland,Home / Non-institution,2016,2,,,,,
36,Shetland,Hospital,2016,1,,,,,
36,Tayside,Care Home,2016,19,,,,,
36,Tayside,Home / Non-institution,2016,25,,,,,
36,Tayside,Hospital,2016,44,,,,,
36,Tayside,Other institution,2016,1,,,,,
36,Western Isles,Home / Non-institution,2016,5,,,,,
36,Western Isles,Hospital,2016,2,,,,,
37,Ayrshire and Arran,Care Home,2016,25,,,,,
37,Ayrshire and Arran,Home / Non-institution,2016,18,,,,,
37,Ayrshire and Arran,Hospital,2016,39,,,,,
37,Borders,Care Home,2016,6,,,,,
37,Borders,Home / Non-institution,2016,5,,,,,
37,Borders,Hospital,2016,15,,,,,
37,Borders,Other institution,2016,2,,,,,
37,Dumfries and Galloway,Care Home,2016,4,,,,,
37,Dumfries and Galloway,Home / Non-institution,2016,9,,,,,
37,Dumfries and Galloway,Hospital,2016,18,,,,,
37,Fife,Care Home,2016,15,,,,,
37,Fife,Home / Non-institution,2016,12,,,,,
37,Fife,Hospital,2016,36,,,,,
37,Forth Valley,Care Home,2016,13,,,,,
37,Forth Valley,Home / Non-institution,2016,19,,,,,
37,Forth Valley,Hospital,2016,31,,,,,
37,Grampian,Care Home,2016,20,,,,,
37,Grampian,Home / Non-institution,2016,23,,,,,
37,Grampian,Hospital,2016,55,,,,,
37,Greater Glasgow and Clyde,Care Home,2016,44,,,,,
37,Greater Glasgow and Clyde,Home / Non-institution,2016,59,,,,,
37,Greater Glasgow and Clyde,Hospital,2016,105,,,,,
37,Highland,Care Home,2016,11,,,,,
37,Highland,Home / Non-institution,2016,19,,,,,
37,Highland,Hospital,2016,32,,,,,
37,Lanarkshire,Care Home,2016,20,,,,,
37,Lanarkshire,Home / Non-institution,2016,37,,,,,
37,Lanarkshire,Hospital,2016,71,,,,,
37,Lothian,Care Home,2016,35,,,,,
37,Lothian,Home / Non-institution,2016,34,,,,,
37,Lothian,Hospital,2016,59,,,,,
37,Orkney,Care Home,2016,1,,,,,
37,Orkney,Home / Non-institution,2016,2,,,,,
37,Orkney,Hospital,2016,4,,,,,
37,Shetland,Care Home,2016,1,,,,,
37,Shetland,Home / Non-institution,2016,1,,,,,
37,Shetland,Hospital,2016,1,,,,,
37,Tayside,Care Home,2016,23,,,,,
37,Tayside,Home / Non-institution,2016,26,,,,,
37,Tayside,Hospital,2016,39,,,,,
37,Western Isles,Care Home,2016,2,,,,,
37,Western Isles,Home / Non-institution,2016,3,,,,,
37,Western Isles,Hospital,2016,3,,,,,
38,Ayrshire and Arran,Care Home,2016,17,,,,,
38,Ayrshire and Arran,Home / Non-institution,2016,22,,,,,
38,Ayrshire and Arran,Hospital,2016,37,,,,,
38,Borders,Care Home,2016,3,,,,,
38,Borders,Home / Non-institution,2016,5,,,,,
38,Borders,Hospital,2016,12,,,,,
38,Borders,Other institution,2016,2,,,,,
38,Dumfries and Galloway,Care Home,2016,7,,,,,
38,Dumfries and Galloway,Home / Non-institution,2016,12,,,,,
38,Dumfries and Galloway,Hospital,2016,18,,,,,
38,Fife,Care Home,2016,9,,,,,
38,Fife,Home / Non-institution,2016,19,,,,,
38,Fife,Hospital,2016,50,,,,,
38,Forth Valley,Care Home,2016,11,,,,,
38,Forth Valley,Home / Non-institution,2016,13,,,,,
38,Forth Valley,Hospital,2016,24,,,,,
38,Forth Valley,Other institution,2016,1,,,,,
38,Grampian,Care Home,2016,25,,,,,
38,Grampian,Home / Non-institution,2016,20,,,,,
38,Grampian,Hospital,2016,45,,,,,
38,Grampian,Other institution,2016,3,,,,,
38,Greater Glasgow and Clyde,Care Home,2016,58,,,,,
38,Greater Glasgow and Clyde,Home / Non-institution,2016,65,,,,,
38,Greater Glasgow and Clyde,Hospital,2016,101,,,,,
38,Highland,Care Home,2016,12,,,,,
38,Highland,Home / Non-institution,2016,20,,,,,
38,Highland,Hospital,2016,32,,,,,
38,Lanarkshire,Care Home,2016,17,,,,,
38,Lanarkshire,Home / Non-institution,2016,23,,,,,
38,Lanarkshire,Hospital,2016,47,,,,,
38,Lanarkshire,Other institution,2016,1,,,,,
38,Lothian,Care Home,2016,53,,,,,
38,Lothian,Home / Non-institution,2016,30,,,,,
38,Lothian,Hospital,2016,64,,,,,
38,Orkney,Care Home,2016,1,,,,,
38,Orkney,Hospital,2016,5,,,,,
38,Shetland,Care Home,2016,3,,,,,
38,Shetland,Home / Non-institution,2016,1,,,,,
38,Tayside,Care Home,2016,18,,,,,
38,Tayside,Home / Non-institution,2016,20,,,,,
38,Tayside,Hospital,2016,33,,,,,
38,Tayside,Other institution,2016,2,,,,,
38,Western Isles,Care Home,2016,2,,,,,
38,Western Isles,Home / Non-institution,2016,1,,,,,
39,Ayrshire and Arran,Care Home,2016,21,,,,,
39,Ayrshire and Arran,Home / Non-institution,2016,29,,,,,
39,Ayrshire and Arran,Hospital,2016,41,,,,,
39,Borders,Care Home,2016,2,,,,,
39,Borders,Home / Non-institution,2016,6,,,,,
39,Borders,Hospital,2016,14,,,,,
39,Borders,Other institution,2016,2,,,,,
39,Dumfries and Galloway,Care Home,2016,4,,,,,
39,Dumfries and Galloway,Home / Non-institution,2016,14,,,,,
39,Dumfries and Galloway,Hospital,2016,13,,,,,
39,Fife,Care Home,2016,16,,,,,
39,Fife,Home / Non-institution,2016,27,,,,,
39,Fife,Hospital,2016,43,,,,,
39,Forth Valley,Care Home,2016,18,,,,,
39,Forth Valley,Home / Non-institution,2016,12,,,,,
39,Forth Valley,Hospital,2016,36,,,,,
39,Grampian,Care Home,2016,29,,,,,
39,Grampian,Home / Non-institution,2016,22,,,,,
39,Grampian,Hospital,2016,49,,,,,
39,Greater Glasgow and Clyde,Care Home,2016,56,,,,,
39,Greater Glasgow and Clyde,Home / Non-institution,2016,61,,,,,
39,Greater Glasgow and Clyde,Hospital,2016,106,,,,,
39,Greater Glasgow and Clyde,Other institution,2016,1,,,,,
39,Highland,Care Home,2016,14,,,,,
39,Highland,Home / Non-institution,2016,22,,,,,
39,Highland,Hospital,2016,39,,,,,
39,Lanarkshire,Care Home,2016,24,,,,,
39,Lanarkshire,Home / Non-institution,2016,36,,,,,
39,Lanarkshire,Hospital,2016,71,,,,,
39,Lanarkshire,Other institution,2016,1,,,,,
39,Lothian,Care Home,2016,33,,,,,
39,Lothian,Home / Non-institution,2016,37,,,,,
39,Lothian,Hospital,2016,71,,,,,
39,Orkney,Care Home,2016,1,,,,,
39,Orkney,Home / Non-institution,2016,1,,,,,
39,Orkney,Hospital,2016,2,,,,,
39,Shetland,Care Home,2016,2,,,,,
39,Shetland,Hospital,2016,3,,,,,
39,Tayside,Care Home,2016,18,,,,,
39,Tayside,Home / Non-institution,2016,22,,,,,
39,Tayside,Hospital,2016,39,,,,,
39,Tayside,Other institution,2016,1,,,,,
39,Western Isles,Care Home,2016,3,,,,,
39,Western Isles,Home / Non-institution,2016,1,,,,,
40,Ayrshire and Arran,Care Home,2016,14,,,,,
40,Ayrshire and Arran,Home / Non-institution,2016,24,,,,,
